number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass
4,88.9444675,57.86269229,66.36159243,36.11661191,1.181795239,1.062395545,122.90607,31.79492086,51.96882779,53.62253453
5,92.729214,58.51841614,73.13278722,36.39660203,1.449309193,1.057755123,122.90607,36.161939,47.09463317,53.97986965
4,88.9444675,57.88524186,66.36159243,36.12250904,1.181795239,0.975980464,122.90607,35.741099,51.96882779,53.65626773
4,88.9444675,57.87396707,66.36159243,36.11956035,1.181795239,1.022290892,122.90607,33.76800993,51.96882779,53.63940497
4,88.9444675,57.84014271,66.36159243,36.11071574,1.181795239,1.12922373,122.90607,27.84874271,51.96882779,53.58877061
4,88.9444675,57.79504357,66.36159243,36.09892629,1.181795239,1.225202803,122.90607,20.68745786,51.96882779,53.52115035
4,88.9444675,57.68229571,66.36159243,36.06946951,1.181795239,1.316856588,122.90607,10.76563857,51.96882779,53.35155798
4,76.5177175,57.17514186,59.31009613,35.89136809,1.197273033,0.943560479,122.90607,36.451199,44.28945853,52.92413987
4,76.5177175,56.80881707,59.31009613,35.77343242,1.197273033,0.981879784,122.90607,34.83315993,44.28945853,52.53320698
4,76.5177175,56.44249229,59.31009613,35.65588427,1.197273033,1.016495368,122.90607,33.21512086,44.28945853,52.13676921
4,76.5177175,55.70984271,59.31009613,35.42194546,1.197273033,1.077782861,122.90607,29.97904271,44.28945853,51.32686699
5,111.273574,63.713457,82.79331938,37.93423103,1.409442185,1.335472387,184.5906,27.84874271,64.45900432,60.90309995
5,92.729214,58.201829,73.13278722,36.25929654,1.449309193,1.026456747,122.90607,36.93242614,47.09463317,53.81924307
5,92.729214,58.51841614,73.13278722,36.39660203,1.449309193,1.057755123,122.90607,36.161939,47.09463317,53.97986965
5,92.729214,59.46817757,73.13278722,36.81164604,1.449309193,1.114757589,122.90607,35.741099,47.09463317,54.4478632
5,92.729214,61.05111329,73.13278722,37.51393024,1.449309193,1.146919257,122.90607,35.741099,47.09463317,55.18272535
5,69.17125,47.50531923,54.8727651,33.31907275,1.419173391,1.428951541,121.3276,14.30396154,41.8090109,40.7277631
4,88.9444675,57.87396707,66.36159243,36.11956035,1.181795239,1.022290892,122.90607,33.76800993,51.96882779,53.63940497
4,76.5177175,56.80881707,59.31009613,35.77343242,1.197273033,0.981879784,122.90607,34.83315993,44.28945853,52.53320698
4,76.5177175,57.54146664,59.31009613,36.00969257,1.197273033,0.899624878,122.90607,38.06923807,44.28945853,53.30968897
4,76.5177175,57.17514186,59.31009613,35.89136809,1.197273033,0.943560479,122.90607,36.451199,44.28945853,52.92413987
4,76.5177175,56.25932989,59.31009613,35.59725512,1.197273033,1.032709392,122.90607,32.40610132,44.28945853,51.93644666
4,76.5177175,56.0761675,59.31009613,35.53872237,1.197273033,1.048294037,122.90607,31.59708179,44.28945853,51.73469999
4,76.5177175,55.70984271,59.31009613,35.42194546,1.197273033,1.077782861,122.90607,29.97904271,44.28945853,51.32686699
4,76.5177175,55.34351793,59.31009613,35.30555227,1.197273033,1.105284639,122.90607,28.36100364,44.28945853,50.9131317
4,76.5177175,54.97719314,59.31009613,35.18954153,1.197273033,1.1310182,122.90607,26.74296457,44.28945853,50.49334902
4,76.5177175,56.62565468,59.31009613,35.71460998,1.197273033,0.999582455,122.90607,34.02414039,44.28945853,52.33568398
4,64.6322175,55.79005993,48.77579155,35.17882959,1.139875458,0.931491053,122.90607,35.85191707,46.05908282,52.38659653
4,97.4816,152.46412,70.11038829,137.3874671,1.15476159,0.387215585,157.0546,137.64323,61.42030895,45.52345927
4,97.4816,104.627,70.11038829,73.42898318,1.15476159,0.809543744,157.0546,73.87445,61.42030895,67.42480225
4,97.4816,139.4662667,70.11038829,115.8195749,1.15476159,0.605632481,157.0546,113.5916222,61.42030895,55.55912316
6,102.7419783,102.8417812,81.54713004,72.5430728,1.633227497,1.038560898,157.0546,69.64877,52.81567963,66.1905647
4,76.4445625,65.83464667,59.35667247,48.95599366,1.199540745,1.241866747,121.3276,22.13226667,43.82335412,43.84972761
4,76.4445625,65.83464667,59.35667247,48.95599366,1.199540745,1.241866747,121.3276,22.13226667,43.82335412,43.84972761
4,96.03285,77.27946667,69.51592978,53.61111952,1.159784345,1.267451697,151.2596,22.54336667,59.66389153,57.1397877
4,96.4516525,75.97830783,69.68934187,53.14692528,1.158346429,1.259726376,152.93481,24.42105,60.16614927,55.44574494
4,96.4516525,75.451521,69.68934187,52.96375685,1.158346429,1.242689928,152.93481,26.70983333,60.16614927,54.70527853
4,96.4516525,74.92473417,69.68934187,52.78121969,1.158346429,1.216986732,152.93481,28.99861667,60.16614927,53.94950747
4,96.4516525,74.39794733,69.68934187,52.59931164,1.158346429,1.181296639,152.93481,31.2874,60.16614927,53.17777925
4,88.9444675,55.09179,66.36159243,36.15521124,1.181795239,1.328127392,122.90607,12.51216923,51.96882779,49.19499519
4,76.4445625,81.45675,59.35667247,68.22961748,1.199540745,1.108189293,121.3276,36.95065714,43.82335412,40.61229287
4,76.4445625,48.38036235,59.35667247,32.48762068,1.199540745,1.327279383,121.3276,11.01973176,43.82335412,43.91875628
4,76.4445625,49.41361833,59.35667247,32.99627767,1.199540745,1.318274391,121.3276,11.708465,43.82335412,44.71982668
4,76.4445625,51.92295429,59.35667247,34.26499144,1.199540745,1.288558721,121.3276,14.46377143,43.82335412,46.51253455
4,90.2786,73.2128,66.98998734,52.21886037,1.178059558,1.268598884,128.2426,22.13226667,53.2860956,51.157461
4,92.2091,50.9452,67.86910795,32.67005238,1.172280292,1.367866564,135.9646,6.8796,55.30769533,49.76226558
4,93.5306,51.36808,68.45176101,32.75954233,1.168103274,1.368293937,141.2506,6.8796,56.7636543,50.63375605
4,94.8431,51.78808,69.01608234,32.84572426,1.163801064,1.368506268,146.5006,6.8796,58.26271401,51.52423376
4,95.45068,51.9825056,69.27269554,32.88475522,1.161762834,1.368536707,148.93092,6.8796,58.97342845,51.94450734
4,96.03285,52.1688,69.51592978,32.92166058,1.159784345,1.368527205,151.2596,6.8796,59.66389153,52.35182946
4,96.4516525,52.3028168,69.68934187,32.94791841,1.158346429,1.368497571,152.93481,6.8796,60.16614927,52.64758906
4,97.9598,52.785424,70.3033264,33.04053153,1.153075171,1.368239061,158.9674,6.8796,62.01143299,53.73100963
4,90.2786,94.01767273,66.98998734,80.28529458,1.178059558,1.149863437,128.2426,35.99832727,53.2860956,44.10887837
4,91.8081,90.23591429,67.68930284,73.54839827,1.173513988,1.158453362,134.3606,36.95065714,54.87713673,47.35603901
4,93.5306,96.38276364,68.45176101,81.55563817,1.168103274,1.152208223,141.2506,35.99832727,56.7636543,46.99292285
4,76.4445625,81.45675,59.35667247,68.22961748,1.199540745,1.108189293,121.3276,36.95065714,43.82335412,40.61229287
4,76.4445625,46.868971,59.35667247,31.57195771,1.199540745,1.291517139,121.3276,13.891429,43.82335412,43.34720938
4,76.4445625,78.86562,59.35667247,60.6611761,1.199540745,1.149031811,121.3276,37.19825,43.82335412,45.74050965
4,76.4445625,73.28091714,59.35667247,55.33611969,1.199540745,1.197166882,121.3276,30.7414,43.82335412,45.40023471
5,111.273574,60.77679986,82.79331938,37.01124469,1.409442185,1.287172286,184.5906,29.43582843,64.45900432,57.43775687
4,76.5177175,56.80881707,59.31009613,35.77343242,1.197273033,0.981879784,122.90607,34.83315993,44.28945853,52.53320698
5,105.766374,102.9195735,80.38402854,72.62638032,1.42727218,1.043947187,157.0546,65.22175,57.380427,66.08953482
4,76.5177175,55.34351793,59.31009613,35.30555227,1.197273033,1.105284639,122.90607,28.36100364,44.28945853,50.9131317
4,76.4445625,65.83464667,59.35667247,48.95599366,1.199540745,1.241866747,121.3276,22.13226667,43.82335412,43.84972761
4,97.4816,52.6324,70.11038829,33.01148831,1.15476159,1.36834616,157.0546,6.8796,61.42030895,53.38442955
4,97.9598,67.13560571,70.3033264,38.32499009,1.153075171,0.976253186,158.9674,41.06783429,62.01143299,68.02049839
4,76.4445625,36.8819275,59.35667247,26.99102124,1.199540745,1.257411485,121.3276,11.04709417,43.82335412,31.35828838
4,88.9444675,57.87396707,66.36159243,36.11956035,1.181795239,1.022290892,122.90607,33.76800993,51.96882779,53.63940497
4,76.5177175,56.80881707,59.31009613,35.77343242,1.197273033,0.981879784,122.90607,34.83315993,44.28945853,52.53320698
5,70.787574,56.33049943,56.82116637,35.58379541,1.431582354,1.040652837,122.90607,35.37664229,41.23812662,52.13822986
5,71.402474,56.42448586,57.53303016,35.64462459,1.436249876,1.023743001,122.90607,35.64577586,40.91341801,52.13648937
5,71.613394,56.42599243,57.76929352,35.64566801,1.437728507,1.023893036,122.90607,35.64426929,40.80997997,52.13634614
5,72.201783,56.41789813,58.4087003,35.64105879,1.441543558,1.030180781,122.90607,35.56158359,40.54323707,52.13544278
5,72.383174,56.38748514,58.60028948,35.62299822,1.442631653,1.044680366,122.90607,35.31965657,40.46755131,52.13330797
5,73.000813,56.40954368,59.23452356,35.6366965,1.446043866,1.046197483,122.90607,35.29759804,40.2333118,52.1337271
5,72.952854,56.40783086,59.1862407,35.63565866,1.445794601,1.046080465,122.90607,35.29931086,40.25019151,52.1336481
5,74.290174,56.44511229,60.47722922,35.65733358,1.451830892,1.02575276,122.90607,35.62514943,39.86342571,52.13717219
5,89.395704,56.47109486,70.51634872,35.66317465,1.443071966,1.153383607,124.90825,31.72121914,47.25055613,52.18253021
5,90.062574,56.51872843,70.84696486,35.67509208,1.440875157,1.155211976,128.2426,31.67358557,47.99059762,52.26104712
5,91.286174,56.60612843,71.43801289,35.69626897,1.436631768,1.158510308,134.3606,31.58618557,49.41329921,52.41257625
5,92.664174,56.704557,72.08103819,35.71912418,1.43155653,1.162140536,141.2506,31.487757,51.10848403,52.59470271
5,72.32465,51.15680769,58.63710174,34.88323096,1.44461203,1.343552846,121.3276,20.48286538,40.05351182,44.17504239
5,72.32465,51.06795,58.63710174,34.83127327,1.44461203,1.377152354,121.3276,19.8385,40.05351182,44.15777414
5,72.32465,51.22789385,58.63710174,34.92485292,1.44461203,1.306313761,121.3276,20.99835769,40.05351182,44.18872347
5,72.32465,51.21012231,58.63710174,34.91444278,1.44461203,1.317231906,121.3276,20.86948462,40.05351182,44.18531432
5,72.32465,51.17457923,58.63710174,34.8936318,1.44461203,1.335512173,121.3276,20.61173846,40.05351182,44.17847378
4,76.4445625,51.24566538,59.35667247,34.93526616,1.199540745,1.291888138,121.3276,14.28831923,43.82335412,44.19212522
5,67.56865,52.48148077,52.47855715,36.85439213,1.399446199,1.407754917,121.3276,18.66069231,43.02925033,43.40685491
5,68.24625,52.74209615,53.54343575,37.1402456,1.408474474,1.415667479,121.3276,18.40007692,42.48809721,43.29351452
4,76.4445625,51.24566538,59.35667247,34.93526616,1.199540745,1.291888138,121.3276,14.28831923,43.82335412,44.19212522
4,76.4445625,51.24566538,59.35667247,34.93526616,1.199540745,1.291888138,121.3276,14.28831923,43.82335412,44.19212522
4,93.5306,56.50290769,68.45176101,36.5018478,1.168103274,1.334656273,141.2506,12.51216923,56.7636543,51.77436164
4,76.4445625,51.24566538,59.35667247,34.93526616,1.199540745,1.291888138,121.3276,14.28831923,43.82335412,44.19212522
4,76.4445625,51.24566538,59.35667247,34.93526616,1.199540745,1.291888138,121.3276,14.28831923,43.82335412,44.19212522
4,76.4445625,51.24566538,59.35667247,34.93526616,1.199540745,1.291888138,121.3276,14.28831923,43.82335412,44.19212522
4,76.4445625,51.24566538,59.35667247,34.93526616,1.199540745,1.291888138,121.3276,14.28831923,43.82335412,44.19212522
4,95.45068,54.15839429,69.27269554,34.53087742,1.161762834,1.347088909,148.93092,10.47562857,58.97342845,52.11094323
5,92.60565,53.1216275,72.12631894,34.27356945,1.43294004,1.388316969,141.2506,18.98310107,50.80464634,50.29773323
4,76.4445625,51.24566538,59.35667247,34.93526616,1.199540745,1.291888138,121.3276,14.28831923,43.82335412,44.19212522
4,76.4445625,51.24566538,59.35667247,34.93526616,1.199540745,1.291888138,121.3276,14.28831923,43.82335412,44.19212522
4,76.4445625,51.24566538,59.35667247,34.93526616,1.199540745,1.291888138,121.3276,14.28831923,43.82335412,44.19212522
5,79.736926,51.23974613,64.92093185,33.78347932,1.46292343,1.431023422,121.3276,19.15253613,39.74604034,46.14389918
4,91.8081,50.94721,67.68930284,32.67193998,1.173513988,1.373440377,134.3606,5.50633,54.87713673,49.74714366
4,91.8081,50.81688,67.68930284,32.64233058,1.173513988,1.367692317,134.3606,6.8796,54.87713673,49.50299961
4,91.8081,35.24107667,67.68930284,23.7596736,1.173513988,1.338898697,134.3606,6.930777778,54.87713673,40.48123492
4,91.8081,50.55622,67.68930284,32.58319226,1.173513988,1.33778506,134.3606,10.20418,54.87713673,49.01002335
4,91.8081,50.42589,67.68930284,32.55366329,1.173513988,1.312599994,134.3606,13.08105,54.87713673,48.76114376
4,91.8081,50.29556,67.68930284,32.52416109,1.173513988,1.279449915,134.3606,15.95792,54.87713673,48.51063719
4,91.8081,50.68655,67.68930284,32.61274802,1.173513988,1.355943088,134.3606,8.25287,54.87713673,49.25730063
4,76.4445625,46.54616333,59.35667247,31.48057636,1.199540745,1.309485219,121.3276,12.38321,43.82335412,42.84980728
4,94.03645,64.0222,65.68635754,38.15602027,1.100637313,1.230808299,192.981,23.53576923,71.19117078,67.52962347
4,94.03645,94.03645,65.68635754,65.68635754,1.100637313,1.100637313,192.981,48.24525,71.19117078,71.19117078
4,96.03285,92.65005714,69.51592978,74.67605855,1.159784345,1.164600374,151.2596,36.95065714,59.66389153,50.67404868
4,95.45068,92.31738857,69.27269554,74.5266382,1.161762834,1.163894831,148.93092,36.95065714,58.97342845,50.18847596
4,93.5306,91.2202,68.45176101,74.02066485,1.168103274,1.161255761,141.2506,36.95065714,56.7636543,48.64941828
4,76.4445625,51.51889225,59.35667247,35.1474002,1.199540745,1.290691166,121.3276,14.3990814,43.82335412,44.25356654
4,92.2091,91.51055714,67.86910795,74.19477672,1.172280292,1.185367722,135.9646,30.27808571,55.30769533,48.81251597
4,93.5306,92.64327143,68.45176101,74.74040755,1.168103274,1.183373041,141.2506,31.4108,56.7636543,50.24260302
4,76.4445625,77.99809643,59.35667247,66.14322922,1.199540745,1.182885368,121.3276,27.14158571,43.82335412,37.66160315
4,97.4816,96.02984286,70.11038829,76.29003537,1.15476159,1.176228278,157.0546,34.79737143,61.42030895,54.80841422
4,76.4445625,51.24566538,59.35667247,34.93526616,1.199540745,1.291888138,121.3276,14.28831923,43.82335412,44.19212522
5,72.89433,51.15234615,59.22342104,34.88193874,1.447755744,1.369589948,121.3276,19.99851154,39.83472978,44.171171
5,66.55195772,51.10503284,50.69778432,34.8203558,1.383686271,1.304047955,121.3276,21.02345562,43.90721593,44.21093363
5,66.55195772,50.9644003,50.69778432,34.7058234,1.383686271,1.313378375,121.3276,20.91968047,43.90721593,44.22928688
4,76.5177175,56.80881707,59.31009613,35.77343242,1.197273033,0.981879784,122.90607,34.83315993,44.28945853,52.53320698
5,72.952854,56.79148636,59.1862407,35.76328484,1.445794601,0.999169485,122.90607,36.50111207,40.25019151,52.53178194
5,72.952854,56.77415564,59.1862407,35.75314013,1.445794601,1.011248905,122.90607,36.29149279,40.25019151,52.53035115
5,66.55195772,50.93627379,50.69778432,34.68296216,1.383686271,1.315096913,121.3276,20.89892544,43.90721593,44.23290296
5,66.55195772,50.90814728,50.69778432,34.66011599,1.383686271,1.316777218,121.3276,20.87817041,43.90721593,44.23650087
5,66.55195772,50.88002077,50.69778432,34.63728486,1.383686271,1.318422318,121.3276,20.85741538,43.90721593,44.2400806
5,66.55195772,50.86595752,50.69778432,34.62587494,1.383686271,1.319232479,121.3276,20.84703787,43.90721593,44.24186365
5,66.55195772,50.73938823,50.69778432,34.52335463,1.383686271,1.326197621,121.3276,20.75364023,43.90721593,44.25770678
4,76.4445625,51.24566538,59.35667247,34.93526616,1.199540745,1.291888138,121.3276,14.28831923,43.82335412,44.19212522
4,76.4445625,51.79638828,59.35667247,35.36416735,1.199540745,1.289459251,121.3276,14.51157422,43.82335412,44.31415642
4,96.03285,57.27283077,69.51592978,36.67552162,1.159784345,1.337107754,151.2596,12.51216923,59.66389153,53.31822319
5,61.357238,50.71040804,26.27015125,33.64015278,1.217666928,1.293617899,136.31906,20.89139181,49.46613524,44.25765381
5,61.357238,49.45678496,26.27015125,30.7916766,1.217666928,1.296921712,136.31906,20.33903478,49.46613524,44.38549416
5,61.357238,47.65725643,26.27015125,27.11916065,1.217666928,1.301258301,136.31906,19.54614714,49.46613524,44.5066822
4,76.4445625,46.54616333,59.35667247,31.48057636,1.199540745,1.309485219,121.3276,12.38321,43.82335412,42.84980728
4,92.2091,55.79020916,67.86910795,36.17818961,1.172280292,1.334230641,135.9646,12.29452366,55.30769533,50.92116474
4,93.5306,56.25517982,68.45176101,36.3181699,1.168103274,1.335597865,141.2506,12.33778654,56.7636543,51.71230018
4,94.8431,57.48111607,69.01608234,37.02174385,1.163801064,1.333831804,146.5006,12.91248768,58.26271401,52.7152317
4,95.45068,58.03133706,69.27269554,37.33511151,1.161762834,1.332999789,148.93092,13.16270858,58.97342845,53.18249332
4,96.03285,57.85233292,69.51592978,37.10519591,1.159784345,1.334901282,151.2596,12.91248768,59.66389153,53.46488596
4,96.4516525,58.54721107,69.68934187,37.55661646,1.158346429,1.333058339,152.93481,13.30102688,60.16614927,53.87099684
4,97.4816,58.67049363,70.11038829,37.47661381,1.15476159,1.334591439,157.0546,13.16270858,61.42030895,54.49597924
4,97.9598,57.86573846,70.3033264,36.80284461,1.153075171,1.338527756,158.9674,12.51216923,62.01143299,54.5662413
4,76.4445625,52.02152657,59.35667247,35.54101697,1.199540745,1.288448054,121.3276,14.60284198,43.82335412,44.36197801
4,90.2786,55.02201398,66.98998734,35.90130516,1.178059558,1.33217145,128.2426,12.16552401,53.2860956,49.7939489
4,91.8081,55.63750831,67.68930284,36.12642844,1.173513988,1.333816753,134.3606,12.27294172,54.87713673,50.68366803
4,76.5177175,56.80881707,59.31009613,35.77343242,1.197273033,0.981879784,122.90607,34.83315993,44.28945853,52.53320698
4,76.5177175,56.80881707,59.31009613,35.77343242,1.197273033,0.981879784,122.90607,34.83315993,44.28945853,52.53320698
5,72.89433,52.07278568,59.22342104,35.5812688,1.447755744,1.351490092,121.3276,20.83993108,39.83472978,44.40601815
5,74.23165,51.49340015,60.51522055,35.07159195,1.453747136,1.459793527,121.3276,17.18809063,39.44587456,44.3206326
5,82.72929,52.54545757,66.88894152,35.7753804,1.460596663,1.373545033,121.3276,20.23458593,41.16285088,44.72790389
5,100.17245,53.99070435,75.30433324,36.6036983,1.400846295,1.37751603,179.0846,20.60772323,61.55030198,46.28296131
5,72.942289,51.75512869,59.27173424,35.33921639,1.448003392,1.377290836,121.3276,20.16762775,39.81774444,44.33824843
5,72.89433,52.13836589,59.22342104,35.6282478,1.447755744,1.325976239,121.3276,21.26651654,39.83472978,44.4079851
